Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,5037,93
Armidale Regional,0,0,2267,74
Ballina,0,0,2768,62
Balranald,0,0,202,86
Bathurst Regional,0,0,5001,115
Bayside,49,5,42923,241
Bega Valley,0,0,2277,66
Bellingen,0,0,1077,83
Berrigan,0,0,291,33
Blacktown,54,22,69001,184
Bland,0,0,312,52
Blayney,0,0,1311,178
Blue Mountains,2,0,16835,213
Bogan,0,0,122,47
Bourke,0,0,343,132
Brewarrina,0,0,69,43
Broken Hill,0,0,1185,68
Burwood,9,3,6953,171
Byron,0,0,2744,78
Cabonne,1,0,1118,82
Camden,3,2,30790,304
Campbelltown,14,3,36965,216
Canada Bay,6,0,20444,213
Canterbury-Bankstown,224,61,99956,264
Carrathool,0,0,141,50
Central Coast,3,0,50780,148
Central Darling,0,0,97,53
Cessnock,0,0,3639,61
Clarence Valley,0,0,2641,51
Cobar,0,0,218,47
Coffs Harbour,0,0,7285,94
Coolamon,0,0,303,70
Coonamble,0,0,261,66
Cootamundra-Gundagai Regional,0,0,1161,103
Cowra,0,0,836,66
Cumberland,111,32,57152,237
Dubbo Regional,0,0,4422,82
Dungog,0,0,602,64
Edward River,0,0,463,51
Eurobodalla,0,0,2780,72
Fairfield,677,160,112282,530
Federation,0,0,799,64
Forbes,0,0,496,50
Georges River,64,14,39230,246
Gilgandra,0,0,215,51
Glen Innes Severn,0,0,366,41
Goulburn Mulwaree,0,0,3439,110
Greater Hume Shire,0,0,1268,118
Griffith,0,0,2206,82
Gunnedah,0,0,747,59
Gwydir,0,0,167,31
Hawkesbury,6,0,13404,199
Hay,0,0,182,62
Hilltops,0,0,1276,68
Hornsby,4,0,22103,145
Hunters Hill,1,0,5972,399
Inner West,10,3,45806,228
Inverell,0,0,851,50
Junee,0,0,313,47
Kempsey,0,0,2194,74
Kiama,0,0,3398,145
Ku-Ring-Gai,0,0,27426,216
Kyogle,0,0,369,42
Lachlan,0,0,277,46
Lake Macquarie,0,0,24315,118
Lane Cove,1,1,14559,363
Leeton,0,0,701,61
Lismore,0,0,2895,66
Lithgow,0,0,1574,73
Liverpool,126,31,66543,292
Liverpool Plains,0,0,408,52
Lockhart,0,0,225,68
Maitland,0,0,11277,132
Mid-Coast,0,0,5530,59
Mid-Western Regional,0,0,2205,87
Moree Plains,0,0,539,41
Mosman,0,0,6062,196
Murray River,0,0,232,19
Murrumbidgee,0,0,224,57
Muswellbrook,0,0,1137,69
Nambucca,0,0,1412,71
Narrabri,0,0,528,40
Narrandera,0,0,238,40
Narromine,0,0,402,62
Newcastle,0,0,20054,121
North Sydney,3,0,12071,161
Northern Beaches,9,0,64121,234
Oberon,0,0,396,73
Orange,0,0,5932,140
Parkes,0,0,1267,85
Parramatta,41,15,45648,177
Penrith,13,2,39768,187
Port Macquarie-Hastings,0,0,6822,81
Port Stephens,0,0,6007,82
Queanbeyan-Palerang Regional,0,0,3645,60
Randwick,54,4,66972,430
Richmond Valley,0,0,1522,65
Ryde,1,0,28592,218
Shellharbour,0,0,11497,157
Shoalhaven,0,0,10054,95
Singleton,0,0,2167,92
Snowy Monaro Regional,0,0,1779,86
Snowy Valleys,0,0,868,60
Strathfield,15,1,13017,277
Sutherland Shire,24,8,57247,248
Sydney,31,11,70434,286
Tamworth Regional,0,0,5335,85
Temora,0,0,250,40
Tenterfield,0,0,166,25
The Hills Shire,15,1,41897,235
Tweed,0,0,5638,58
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,929,66
Upper Lachlan Shire,0,0,680,84
Uralla,0,0,301,50
Wagga Wagga,0,0,6597,101
Walcha,0,0,224,71
Walgett,0,0,317,53
Warren,0,0,275,102
Warrumbungle Shire,0,0,545,59
Waverley,68,4,31178,420
Weddin,0,0,229,63
Wentworth,0,0,811,115
Willoughby,4,1,11703,144
Wingecarribee,1,0,7916,155
Wollondilly,1,1,6745,127
Wollongong,6,3,33931,156
Woollahra,16,3,22373,377
Yass Valley,0,0,937,55
NSW Total**,1674,394,1604329,196
